candidate_row	gene_symbol	nuclease_pam_class	rank	target_interval	run_accession	study	condition	replicate_type	biological_replicate	technical_replicate	guide_fully_in_replicate_peak	guide_any_replicate_peak_overlap	overlap_bp	replicate_peak_id	replicate_peak_signal	distance_to_summit
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0	NA	NA	NA
11	Tfeb	SaCas9_NNGRRT	5	chr17:48096388-48096415	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0	NA	NA	NA
12	Tfeb	SpCas9_NGG	1	chr17:48096434-48096457	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0	NA	NA	NA
13	Tfeb	SpCas9_NGG	2	chr17:48096436-48096459	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0	NA	NA	NA
14	Tfeb	SpCas9_NGG	3	chr17:48096442-48096465	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0	NA	NA	NA
